,feature,class,classID,fold
0,"[[-0.2985814  -0.29858163 -0.29858282 ...  0.          0.
   0.        ]
 [-0.29857746 -0.29857767 -0.29857367 ...  0.          0.
   0.        ]
 [-0.29857698 -0.29857183 -0.29853582 ...  0.          0.
   0.        ]
 ...
 [-0.2985833  -0.29858285 -0.29858172 ...  0.          0.
   0.        ]
 [-0.29858336 -0.29858327 -0.29858282 ...  0.          0.
   0.        ]
 [-0.2985834  -0.29858342 -0.29858342 ...  0.          0.
   0.        ]]",dog_bark,3,5
1,"[[ 1.5486934   1.2416406   3.8660502  ...  0.          0.
   0.        ]
 [ 3.6230576   3.4585266  15.301968   ...  0.          0.
   0.        ]
 [ 0.9777207   1.8225397   6.590881   ...  0.          0.
   0.        ]
 ...
 [-0.30966866 -0.3097098  -0.30972412 ...  0.          0.
   0.        ]
 [-0.30966526 -0.30971223 -0.30972773 ...  0.          0.
   0.        ]
 [-0.3096686  -0.3097132  -0.3097281  ...  0.          0.
   0.        ]]",children_playing,2,5
2,"[[ 1.1602411   4.368356    6.9966016  ...  0.          0.
   0.        ]
 [ 2.7062194   3.9758937   2.2788537  ...  0.          0.
   0.        ]
 [ 6.4280066   6.200636    1.4325993  ...  0.          0.
   0.        ]
 ...
 [-0.24990004 -0.24994229 -0.24995679 ...  0.          0.
   0.        ]
 [-0.24990767 -0.24994574 -0.24995863 ...  0.          0.
   0.        ]
 [-0.2499129  -0.24994735 -0.24995886 ...  0.          0.
   0.        ]]",children_playing,2,5
3,"[[ 0.39543533  0.11975297  0.0052563  ...  0.          0.
   0.        ]
 [ 1.3429639   0.7034608   0.29779464 ...  0.          0.
   0.        ]
 [ 4.067177    1.8213345   1.3078411  ...  0.          0.
   0.        ]
 ...
 [-0.20061058 -0.20060818 -0.20060731 ...  0.          0.
   0.        ]
 [-0.20061442 -0.2006145  -0.20061405 ...  0.          0.
   0.        ]
 [-0.20061512 -0.20061533 -0.20061542 ...  0.          0.
   0.        ]]",children_playing,2,5
4,"[[ 5.5533667   4.328986    3.087532   ...  0.          0.
   0.        ]
 [ 1.5885825   2.0650153   1.7941691  ...  0.          0.
   0.        ]
 [ 8.456752    7.639152    3.246555   ...  0.          0.
   0.        ]
 ...
 [-0.26663384 -0.2667787  -0.26682582 ...  0.          0.
   0.        ]
 [-0.26665208 -0.26678616 -0.26683092 ...  0.          0.
   0.        ]
 [-0.2666503  -0.26678678 -0.2668323  ...  0.          0.
   0.        ]]",children_playing,2,5
5,"[[ 1.0271698   1.009873    0.78121686 ...  0.          0.
   0.        ]
 [ 0.9881062   0.93798465  0.9494874  ...  0.          0.
   0.        ]
 [-0.01395502  0.08777308  0.58922917 ...  0.          0.
   0.        ]
 ...
 [-0.12512314 -0.12521806 -0.12524956 ...  0.          0.
   0.        ]
 [-0.12513578 -0.12522322 -0.12525235 ...  0.          0.
   0.        ]
 [-0.12514253 -0.12522501 -0.1252525  ...  0.          0.
   0.        ]]",children_playing,2,5
6,"[[ 4.9688225   4.3085775   3.3850343  ...  0.          0.
   0.        ]
 [ 4.759418    4.2566752   8.750449   ...  0.          0.
   0.        ]
 [ 3.5391486   1.6898105   1.6137162  ...  0.          0.
   0.        ]
 ...
 [-0.25172195 -0.25182173 -0.25185636 ...  0.          0.
   0.        ]
 [-0.25175267 -0.25183338 -0.25186005 ...  0.          0.
   0.        ]
 [-0.25176    -0.2518355  -0.25186065 ...  0.          0.
   0.        ]]",children_playing,2,5
7,"[[ 1.1822307   0.70926046  0.443602   ...  0.          0.
   0.        ]
 [ 7.1150413   3.1298559   1.1348437  ...  0.          0.
   0.        ]
 [21.297651   11.831898   17.575062   ...  0.          0.
   0.        ]
 ...
 [-0.20731586 -0.20737691 -0.20739727 ...  0.          0.
   0.        ]
 [-0.20729682 -0.20737463 -0.20740063 ...  0.          0.
   0.        ]
 [-0.20730434 -0.20737678 -0.20740092 ...  0.          0.
   0.        ]]",children_playing,2,5
8,"[[ 2.4779093   2.7764657   2.5809803  ...  0.          0.
   0.        ]
 [-0.04789909  0.59727705  1.467287   ...  0.          0.
   0.        ]
 [ 3.943386    2.3346086   0.71348953 ...  0.          0.
   0.        ]
 ...
 [-0.17447893 -0.17448309 -0.17448463 ...  0.          0.
   0.        ]
 [-0.17448029 -0.1744844  -0.1744857  ...  0.          0.
   0.        ]
 [-0.17448112 -0.17448474 -0.17448597 ...  0.          0.
   0.        ]]",children_playing,2,5
9,"[[-0.30724567 -0.30729696 -0.30742478 ...  0.          0.
   0.        ]
 [-0.30761552 -0.3073377  -0.3065486  ...  0.          0.
   0.        ]
 [-0.30566284 -0.30455175 -0.30574793 ...  0.          0.
   0.        ]
 ...
 [-0.307731   -0.30772617 -0.307691   ...  0.          0.
   0.        ]
 [-0.30773157 -0.30773112 -0.3077294  ...  0.          0.
   0.        ]
 [-0.3077317  -0.30773157 -0.30773142 ...  0.          0.
   0.        ]]",car_horn,1,10
10,"[[-0.37685508 -0.3758572  -0.37573054 ...  0.          0.
   0.        ]
 [-0.37578142 -0.37389708 -0.37399766 ...  0.          0.
   0.        ]
 [-0.3748179  -0.37460384 -0.37313682 ...  0.          0.
   0.        ]
 ...
 [-0.3771616  -0.37716076 -0.37716004 ...  0.          0.
   0.        ]
 [-0.3771615  -0.37716112 -0.377161   ...  0.          0.
   0.        ]
 [-0.3771618  -0.3771617  -0.3771617  ...  0.          0.
   0.        ]]",car_horn,1,10
11,"[[-0.1638777  -0.16374917 -0.16380903 ...  0.          0.
   0.        ]
 [-0.16355643 -0.16301969 -0.16333655 ...  0.          0.
   0.        ]
 [-0.15989298 -0.1588639  -0.16257527 ...  0.          0.
   0.        ]
 ...
 [-0.16400631 -0.16399464 -0.16399437 ...  0.          0.
   0.        ]
 [-0.16401266 -0.16401215 -0.16401163 ...  0.          0.
   0.        ]
 [-0.16401269 -0.16401218 -0.16401248 ...  0.          0.
   0.        ]]",car_horn,1,10
12,"[[-0.5234207  -0.5225413  -0.5219684  ...  0.          0.
   0.        ]
 [-0.52348226 -0.522127   -0.5204527  ...  0.          0.
   0.        ]
 [-0.5220469  -0.51434904 -0.51199216 ...  0.          0.
   0.        ]
 ...
 [-0.5237869  -0.52378386 -0.523761   ...  0.          0.
   0.        ]
 [-0.52378666 -0.52378666 -0.52379155 ...  0.          0.
   0.        ]
 [-0.5237959  -0.52379555 -0.52379555 ...  0.          0.
   0.        ]]",car_horn,1,10
13,"[[-0.05355385 -0.05351504 -0.05354214 ...  0.          0.
   0.        ]
 [-0.05355639 -0.05354717 -0.05355351 ...  0.          0.
   0.        ]
 [-0.0535078  -0.05343157 -0.05337454 ...  0.          0.
   0.        ]
 ...
 [-0.053575   -0.05357485 -0.0535748  ...  0.          0.
   0.        ]
 [-0.05357509 -0.05357509 -0.05357509 ...  0.          0.
   0.        ]
 [-0.05357511 -0.05357511 -0.05357511 ...  0.          0.
   0.        ]]",car_horn,1,10
14,"[[-0.16930528 -0.16633357 -0.15937927 ...  0.          0.
   0.        ]
 [-0.168818   -0.16397087 -0.15725525 ...  0.          0.
   0.        ]
 [-0.17024188 -0.16857196 -0.16490035 ...  0.          0.
   0.        ]
 ...
 [-0.17065981 -0.17065981 -0.17065974 ...  0.          0.
   0.        ]
 [-0.17065981 -0.17065981 -0.17065981 ...  0.          0.
   0.        ]
 [-0.17065981 -0.17065981 -0.17065981 ...  0.          0.
   0.        ]]",dog_bark,3,2
15,"[[-0.14262922 -0.14369345 -0.14502782 ...  0.          0.
   0.        ]
 [-0.14308602 -0.14363709 -0.14505126 ...  0.          0.
   0.        ]
 [-0.14430687 -0.14435773 -0.14506759 ...  0.          0.
   0.        ]
 ...
 [-0.14539334 -0.14539336 -0.14539352 ...  0.          0.
   0.        ]
 [-0.14539343 -0.1453935  -0.14539357 ...  0.          0.
   0.        ]
 [-0.14539342 -0.14539358 -0.14539364 ...  0.          0.
   0.        ]]",dog_bark,3,2
16,"[[-0.11675383 -0.11712828 -0.11759559 ...  0.          0.
   0.        ]
 [-0.1171492  -0.1174277  -0.11765574 ...  0.          0.
   0.        ]
 [-0.11716961 -0.11750175 -0.11756378 ...  0.          0.
   0.        ]
 ...
 [-0.11770017 -0.1177002  -0.1177002  ...  0.          0.
   0.        ]
 [-0.1177002  -0.11770022 -0.11770023 ...  0.          0.
   0.        ]
 [-0.1177002  -0.11770022 -0.11770023 ...  0.          0.
   0.        ]]",dog_bark,3,2
17,"[[-0.09709159 -0.09695052 -0.09687538 ...  0.          0.
   0.        ]
 [-0.09708469 -0.09704948 -0.09701396 ...  0.          0.
   0.        ]
 [-0.09696018 -0.09705602 -0.09707909 ...  0.          0.
   0.        ]
 ...
 [-0.09711564 -0.09711565 -0.09711565 ...  0.          0.
   0.        ]
 [-0.09711564 -0.09711565 -0.09711565 ...  0.          0.
   0.        ]
 [-0.09711564 -0.09711565 -0.09711565 ...  0.          0.
   0.        ]]",dog_bark,3,2
18,"[[-0.07095402 -0.06856453 -0.06915655 ...  0.          0.
   0.        ]
 [-0.07015294 -0.06913788 -0.0703497  ...  0.          0.
   0.        ]
 [-0.06963754 -0.06940645 -0.07057806 ...  0.          0.
   0.        ]
 ...
 [-0.07182664 -0.07182661 -0.0718266  ...  0.          0.
   0.        ]
 [-0.07182668 -0.07182667 -0.07182666 ...  0.          0.
   0.        ]
 [-0.07182668 -0.07182668 -0.07182668 ...  0.          0.
   0.        ]]",dog_bark,3,10
19,"[[-0.11202077 -0.10885143 -0.13318574 ...  0.          0.
   0.        ]
 [-0.1253908  -0.12933365 -0.13689007 ...  0.          0.
   0.        ]
 [-0.13592619 -0.13604946 -0.13742912 ...  0.          0.
   0.        ]
 ...
 [-0.13792342 -0.13792342 -0.13792342 ...  0.          0.
   0.        ]
 [-0.13792354 -0.13792352 -0.13792354 ...  0.          0.
   0.        ]
 [-0.13792354 -0.13792354 -0.13792354 ...  0.          0.
   0.        ]]",dog_bark,3,10
20,"[[-0.14425357 -0.1454177  -0.14614408 ...  0.          0.
   0.        ]
 [-0.14279392 -0.14489691 -0.14634885 ...  0.          0.
   0.        ]
 [-0.14575581 -0.14622654 -0.14650933 ...  0.          0.
   0.        ]
 ...
 [-0.1466652  -0.1466652  -0.14666495 ...  0.          0.
   0.        ]
 [-0.14666522 -0.14666522 -0.14666517 ...  0.          0.
   0.        ]
 [-0.14666522 -0.14666523 -0.14666525 ...  0.          0.
   0.        ]]",dog_bark,3,10
21,"[[-0.15441427 -0.15430464 -0.15440032 ...  0.          0.
   0.        ]
 [-0.1541522  -0.1541484  -0.15433612 ...  0.          0.
   0.        ]
 [-0.15440828 -0.15410247 -0.15422776 ...  0.          0.
   0.        ]
 ...
 [-0.15456283 -0.15456283 -0.15456283 ...  0.          0.
   0.        ]
 [-0.15456283 -0.15456283 -0.15456283 ...  0.          0.
   0.        ]
 [-0.15456283 -0.15456283 -0.15456283 ...  0.          0.
   0.        ]]",dog_bark,3,10
22,"[[-0.4958716   0.13961478  1.1193565  ...  0.          0.
   0.        ]
 [-0.49330354 -0.15677984  0.15326552 ...  0.          0.
   0.        ]
 [-0.48539338  0.75988114  2.6485023  ...  0.          0.
   0.        ]
 ...
 [-0.5323125  -0.53225625 -0.53213125 ...  0.          0.
   0.        ]
 [-0.5323152  -0.53230953 -0.5322973  ...  0.          0.
   0.        ]
 [-0.5323159  -0.53231525 -0.5323139  ...  0.          0.
   0.        ]]",air_conditioner,0,5
23,"[[ 0.01253782  0.86554307  1.6163875  ...  0.          0.
   0.        ]
 [ 0.08981066  0.262848    1.0569346  ...  0.          0.
   0.        ]
 [ 1.0128632   2.6646867   1.511897   ...  0.          0.
   0.        ]
 ...
 [-0.49505615 -0.49508262 -0.4951104  ...  0.          0.
   0.        ]
 [-0.49517637 -0.49521548 -0.49522856 ...  0.          0.
   0.        ]
 [-0.4951912  -0.4952311  -0.49524418 ...  0.          0.
   0.        ]]",air_conditioner,0,5
24,"[[ 0.3357835   0.58370465  1.470372   ...  0.          0.
   0.        ]
 [ 0.71771127  0.9989296   0.6077662  ...  0.          0.
   0.        ]
 [ 1.3668851   0.7494918   0.40021122 ...  0.          0.
   0.        ]
 ...
 [-0.46011445 -0.46010572 -0.4601166  ...  0.          0.
   0.        ]
 [-0.46018484 -0.46022835 -0.46024272 ...  0.          0.
   0.        ]
 [-0.46019182 -0.4602423  -0.4602593  ...  0.          0.
   0.        ]]",air_conditioner,0,5
25,"[[ 0.78397083  0.8998995   1.2636654  ...  0.          0.
   0.        ]
 [ 0.31313238  0.00858726  0.98070383 ...  0.          0.
   0.        ]
 [ 1.08018     1.2627299   4.2553897  ...  0.          0.
   0.        ]
 ...
 [-0.45058414 -0.45051694 -0.45052576 ...  0.          0.
   0.        ]
 [-0.4506829  -0.45068225 -0.45067883 ...  0.          0.
   0.        ]
 [-0.45069772 -0.45069757 -0.45069757 ...  0.          0.
   0.        ]]",air_conditioner,0,5
26,"[[ 4.8108077   4.4196258   2.0036685  ...  0.          0.
   0.        ]
 [ 2.7390275   2.35363     1.4822967  ...  0.          0.
   0.        ]
 [ 1.1545715   3.4893627   3.8465662  ...  0.          0.
   0.        ]
 ...
 [-0.49055004 -0.49074042 -0.4909303  ...  0.          0.
   0.        ]
 [-0.4907388  -0.4909268  -0.49098927 ...  0.          0.
   0.        ]
 [-0.49076822 -0.49095383 -0.4910157  ...  0.          0.
   0.        ]]",air_conditioner,0,5
27,"[[ 0.45976043  0.3943051   0.59499466 ...  0.          0.
   0.        ]
 [ 0.12217585  0.2563164   0.3110583  ...  0.          0.
   0.        ]
 [ 0.6655766   4.349347    3.6547558  ...  0.          0.
   0.        ]
 ...
 [-0.51461184 -0.51462287 -0.51462686 ...  0.          0.
   0.        ]
 [-0.5146465  -0.5146629  -0.51466626 ...  0.          0.
   0.        ]
 [-0.5146656  -0.5146795  -0.51468474 ...  0.          0.
   0.        ]]",air_conditioner,0,5
28,"[[11.110362    6.6251388   1.5268111  ...  0.          0.
   0.        ]
 [ 4.1828704   2.653866    1.3370584  ...  0.          0.
   0.        ]
 [ 3.945426    2.0260432   0.21517201 ...  0.          0.
   0.        ]
 ...
 [-0.5089352  -0.50892955 -0.5089289  ...  0.          0.
   0.        ]
 [-0.5090068  -0.5090004  -0.50899893 ...  0.          0.
   0.        ]
 [-0.509017   -0.5090174  -0.5090176  ...  0.          0.
   0.        ]]",air_conditioner,0,5
29,"[[ 0.4129751   1.2596602   3.2797964  ...  0.          0.
   0.        ]
 [ 1.4773575   2.1621068   1.731603   ...  0.          0.
   0.        ]
 [ 1.8930038   1.5747825   1.435886   ...  0.          0.
   0.        ]
 ...
 [-0.49596733 -0.49595648 -0.4959376  ...  0.          0.
   0.        ]
 [-0.4960878  -0.49609157 -0.4960957  ...  0.          0.
   0.        ]
 [-0.49608216 -0.49611008 -0.49611896 ...  0.          0.
   0.        ]]",air_conditioner,0,5
30,"[[ 2.369713    1.3083754   4.898593   ...  0.          0.
   0.        ]
 [ 1.5014557   2.49953     1.7731855  ...  0.          0.
   0.        ]
 [ 3.3116636   1.5528518   0.9564668  ...  0.          0.
   0.        ]
 ...
 [-0.49544153 -0.49595812 -0.4961171  ...  0.          0.
   0.        ]
 [-0.49568626 -0.49610382 -0.49623993 ...  0.          0.
   0.        ]
 [-0.49573803 -0.49612796 -0.49625784 ...  0.          0.
   0.        ]]",air_conditioner,0,5
31,"[[ 3.0358665   0.9657526   1.9152037  ...  0.          0.
   0.        ]
 [ 1.7877094   1.8373352   2.2368145  ...  0.          0.
   0.        ]
 [ 0.70940393  1.6156075   1.8594497  ...  0.          0.
   0.        ]
 ...
 [-0.47377035 -0.47373652 -0.4737624  ...  0.          0.
   0.        ]
 [-0.4738229  -0.47384474 -0.47385332 ...  0.          0.
   0.        ]
 [-0.4738469  -0.47386444 -0.4738691  ...  0.          0.
   0.        ]]",air_conditioner,0,5
32,"[[ 2.7613049   3.3291974   3.3755085  ...  0.          0.
   0.        ]
 [ 4.1702304   2.3272214   3.2930636  ...  0.          0.
   0.        ]
 [ 0.8218345   0.5902878   0.65472734 ...  0.          0.
   0.        ]
 ...
 [-0.48399234 -0.4844114  -0.484517   ...  0.          0.
   0.        ]
 [-0.48429534 -0.4845519  -0.4846282  ...  0.          0.
   0.        ]
 [-0.48434722 -0.48457468 -0.4846479  ...  0.          0.
   0.        ]]",air_conditioner,0,5
33,"[[ 0.2973405   0.6108351   2.2628999  ...  0.          0.
   0.        ]
 [-0.3684577   0.08130185  0.9939134  ...  0.          0.
   0.        ]
 [ 2.09173     2.047691    3.2279332  ...  0.          0.
   0.        ]
 ...
 [-0.500764   -0.500839   -0.50086087 ...  0.          0.
   0.        ]
 [-0.5009154  -0.50091714 -0.5009176  ...  0.          0.
   0.        ]
 [-0.5009191  -0.50093055 -0.5009338  ...  0.          0.
   0.        ]]",air_conditioner,0,5
34,"[[ 1.1562524   2.8108084   5.007346   ...  0.          0.
   0.        ]
 [ 1.9057659   1.5687606   1.7717965  ...  0.          0.
   0.        ]
 [ 6.7154946   2.7453716   1.1936928  ...  0.          0.
   0.        ]
 ...
 [-0.50214005 -0.503106   -0.50347555 ...  0.          0.
   0.        ]
 [-0.5022632  -0.5032355  -0.50356853 ...  0.          0.
   0.        ]
 [-0.5024447  -0.5032962  -0.50358254 ...  0.          0.
   0.        ]]",air_conditioner,0,5
