,feature,class,classID,fold
0,"[[-0.38491762 -0.38491806 -0.38491848 ...  0.          0.
   0.        ]
 [-0.38491383 -0.3849164  -0.38491786 ...  0.          0.
   0.        ]
 [-0.38491285 -0.38490948 -0.38491422 ...  0.          0.
   0.        ]
 ...
 [-0.3848353  -0.3848651  -0.3849125  ...  0.          0.
   0.        ]
 [-0.38491353 -0.3849103  -0.38491538 ...  0.          0.
   0.        ]
 [-0.3849171  -0.38491538 -0.384917   ...  0.          0.
   0.        ]]",dog_bark,3,5
1,"[[ 1.0007019   0.964398    0.47405207 ...  0.          0.
   0.        ]
 [ 3.019081    7.564182    5.1445184  ...  0.          0.
   0.        ]
 [ 4.8437686  10.869848    9.195746   ...  0.          0.
   0.        ]
 ...
 [-0.34307024 -0.34305543 -0.3430864  ...  0.          0.
   0.        ]
 [-0.3431108  -0.3431563  -0.34318155 ...  0.          0.
   0.        ]
 [-0.3431065  -0.3431716  -0.34319508 ...  0.          0.
   0.        ]]",children_playing,2,5
2,"[[ 3.9497623   5.1719694   2.6033986  ...  0.          0.
   0.        ]
 [ 2.5553908   3.6902072   2.4723651  ...  0.          0.
   0.        ]
 [ 3.0020812   1.9340433   1.3783324  ...  0.          0.
   0.        ]
 ...
 [-0.30768248 -0.30783495 -0.30795872 ...  0.          0.
   0.        ]
 [-0.3078993  -0.3079605  -0.3079844  ...  0.          0.
   0.        ]
 [-0.30795997 -0.30798134 -0.30798882 ...  0.          0.
   0.        ]]",children_playing,2,5
3,"[[ 0.1155565   0.05317771  0.07380492 ...  0.          0.
   0.        ]
 [ 0.16605178  0.00471545  0.14628966 ...  0.          0.
   0.        ]
 [ 1.1698582   0.53041273  0.3101142  ...  0.          0.
   0.        ]
 ...
 [-0.23415801 -0.23423266 -0.23428135 ...  0.          0.
   0.        ]
 [-0.23424788 -0.23430264 -0.23432282 ...  0.          0.
   0.        ]
 [-0.23426718 -0.23430914 -0.2343246  ...  0.          0.
   0.        ]]",children_playing,2,5
4,"[[ 3.8528354   2.5882204   0.788841   ...  0.          0.
   0.        ]
 [ 2.7216918   2.70906     3.8783298  ...  0.          0.
   0.        ]
 [ 0.2059735   0.4373646   1.6798345  ...  0.          0.
   0.        ]
 ...
 [-0.25293803 -0.25321522 -0.25329685 ...  0.          0.
   0.        ]
 [-0.25298586 -0.25324604 -0.25333154 ...  0.          0.
   0.        ]
 [-0.25303167 -0.25326055 -0.25333688 ...  0.          0.
   0.        ]]",children_playing,2,5
5,"[[ 0.58945876  0.42036718  0.27027202 ...  0.          0.
   0.        ]
 [ 1.2009664   1.4185765   1.8757856  ...  0.          0.
   0.        ]
 [ 0.3330617   0.5049602   0.46807423 ...  0.          0.
   0.        ]
 ...
 [-0.1332959  -0.13333401 -0.13334544 ...  0.          0.
   0.        ]
 [-0.13329528 -0.13333458 -0.13334799 ...  0.          0.
   0.        ]
 [-0.1332933  -0.1333346  -0.1333484  ...  0.          0.
   0.        ]]",children_playing,2,5
6,"[[ 1.6931251   1.2432747   0.55008554 ...  0.          0.
   0.        ]
 [ 7.041815    5.0168815   2.947431   ...  0.          0.
   0.        ]
 [ 2.4690046   5.905782    5.52592    ...  0.          0.
   0.        ]
 ...
 [-0.29723933 -0.29729673 -0.29731354 ...  0.          0.
   0.        ]
 [-0.29724288 -0.2973027  -0.29732022 ...  0.          0.
   0.        ]
 [-0.29723945 -0.29730344 -0.29732412 ...  0.          0.
   0.        ]]",children_playing,2,5
7,"[[ 0.31280017  0.27702898  1.8395268  ...  0.          0.
   0.        ]
 [ 2.163526    0.7787168   0.58037454 ...  0.          0.
   0.        ]
 [ 3.9590168   1.5522139   0.92930275 ...  0.          0.
   0.        ]
 ...
 [-0.24398066 -0.24404965 -0.24407353 ...  0.          0.
   0.        ]
 [-0.24397361 -0.2440496  -0.24407555 ...  0.          0.
   0.        ]
 [-0.24398808 -0.24405439 -0.24407636 ...  0.          0.
   0.        ]]",children_playing,2,5
8,"[[ 3.5429943   2.107753    0.82682216 ...  0.          0.
   0.        ]
 [ 0.38264227  1.6152984   1.315029   ...  0.          0.
   0.        ]
 [ 0.30580762  0.62051195  0.41703296 ...  0.          0.
   0.        ]
 ...
 [-0.19354677 -0.1935475  -0.1935485  ...  0.          0.
   0.        ]
 [-0.19354658 -0.19354792 -0.19354886 ...  0.          0.
   0.        ]
 [-0.19354661 -0.19354865 -0.19354935 ...  0.          0.
   0.        ]]",children_playing,2,5
9,"[[-0.36432868 -0.36444855 -0.3644707  ...  0.          0.
   0.        ]
 [-0.36443675 -0.3643387  -0.36392477 ...  0.          0.
   0.        ]
 [-0.36431065 -0.36354557 -0.3631549  ...  0.          0.
   0.        ]
 ...
 [-0.36471772 -0.3647112  -0.36470962 ...  0.          0.
   0.        ]
 [-0.36472094 -0.36471796 -0.3647174  ...  0.          0.
   0.        ]
 [-0.3647225  -0.36472186 -0.36472186 ...  0.          0.
   0.        ]]",car_horn,1,10
10,"[[-0.49287227 -0.49269703 -0.49271598 ...  0.          0.
   0.        ]
 [-0.49147695 -0.49151862 -0.4923827  ...  0.          0.
   0.        ]
 [-0.49012053 -0.48994    -0.4908163  ...  0.          0.
   0.        ]
 ...
 [-0.49330738 -0.49329713 -0.49329954 ...  0.          0.
   0.        ]
 [-0.49331674 -0.49331412 -0.49331418 ...  0.          0.
   0.        ]
 [-0.4933181  -0.4933173  -0.49331725 ...  0.          0.
   0.        ]]",car_horn,1,10
